Data,Vendas,Temperatura
2025-04-27,35,28
2025-04-28,42,30
2025-04-29,38,29
2025-04-30,25,25
2025-05-01,30,27
2025-05-02,45,31
2025-05-03,50,32
2025-05-04,48,31
2025-05-05,32,28
2025-05-06,28,26
2025-05-07,36,29
2025-05-08,40,30
2025-05-09,43,31
2025-05-10,55,33
2025-05-11,52,32
2025-05-12,39,29
2025-05-13,33,28
2025-05-14,29,27
2025-05-15,37,29
2025-05-16,41,30
2025-05-17,46,31
2025-05-18,58,34
2025-05-19,53,32
2025-05-20,40,30
2025-05-21,34,28
2025-05-22,30,27
2025-05-23,38,29
2025-05-24,43,31
2025-05-25,49,32
2025-05-26,56,33
2025-05-27,54,32
2025-05-28,41,30
2025-05-29,35,28
2025-05-30,31,27
2025-05-31,39,29
2025-06-01,44,31
2025-06-02,51,32
2025-06-03,57,33
2025-06-04,55,32
2025-06-05,42,30
2025-06-06,36,28
2025-06-07,32,27
2025-06-08,40,29
2025-06-09,45,31
2025-06-10,52,32
2025-06-11,59,34
2025-06-12,56,33
2025-06-13,43,30
2025-06-14,37,28
2025-06-15,33,27
2025-06-16,41,29
2025-06-17,46,31
2025-06-18,53,32
2025-06-19,60,34
2025-06-20,57,33
2025-06-21,44,30
2025-06-22,38,28
2025-06-23,34,27
2025-06-24,42,29
2025-06-25,47,31
2025-06-26,54,32
2025-06-27,61,35
2025-06-28,58,33
2025-06-29,45,30
2025-06-30,39,28
2025-07-01,35,27
2025-07-02,43,29
2025-07-03,48,31
2025-07-04,55,32
2025-07-05,62,35
2025-07-06,59,33
2025-07-07,46,30
2025-07-08,40,28
2025-07-09,36,27
2025-07-10,44,29
2025-07-11,49,31
2025-07-12,56,33
2025-07-13,63,35
2025-07-14,60,34
2025-07-15,47,30
2025-07-16,41,28
2025-07-17,37,27
2025-07-18,45,29
2025-07-19,50,31
2025-07-20,57,33
2025-07-21,64,36
2025-07-22,61,34
2025-07-23,48,30
2025-07-24,42,28
2025-07-25,38,27
2025-07-26,46,29
2025-07-27,51,32
2025-07-28,58,33
2025-07-29,65,36
2025-07-30,62,34
2025-07-31,49,31
2025-08-01,43,29
2025-08-02,39,28
2025-08-03,47,30
2025-08-04,52,32
2025-08-05,59,34
